0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Arthur%20Morgan.png HTTP/1.1" 200 192240
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Dutch_van_der_Linde_Artwork.png HTTP/1.1" 200 187750
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/John_RDR1.png HTTP/1.1" 200 67874
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Milton_2.png HTTP/1.1" 200 114904
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Micah_Bell_Artwork.png HTTP/1.1" 200 207604
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Edgar%20Ross.jpg HTTP/1.1" 200 37870
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Colm.png HTTP/1.1" 200 170854
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project1/image/Red/Sadie_official_art.png HTTP/1.1" 200 196934
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /project01/image/Red/red-dead-redemption-75746.png HTTP/1.1" 404 868
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:00:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:06 +0900] "GET /project1/RDR.jsp HTTP/1.1" 200 16058
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:06 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:06 +0900] "GET /project1/styles/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:06 +0900] "GET /project1/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:06 +0900] "GET /project1/styles/footer.css HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:06 +0900] "GET /project1/image/Red/red-dead-redemption-75746.png HTTP/1.1" 200 30181
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/RDR.jsp HTTP/1.1" 200 16058
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/John_RDR1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Dutch_van_der_Linde_Artwork.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/red-dead-redemption-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Arthur%20Morgan.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Micah_Bell_Artwork.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Milton_2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Edgar%20Ross.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Sadie_official_art.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:09 +0900] "GET /project1/image/Red/Colm.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/BF.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Thor.jpg HTTP/1.1" 200 154093
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Atreus.jpg HTTP/1.1" 200 168110
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Kratos.jpg HTTP/1.1" 200 143357
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/BF2042/Battlefield_2042_logo.svg.png HTTP/1.1" 200 38205
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Angrboda.jpg HTTP/1.1" 200 141013
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Freya.jpg HTTP/1.1" 200 149372
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Mimir.jpg HTTP/1.1" 200 122578
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Brok.jpg HTTP/1.1" 200 142118
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:10 +0900] "GET /project1/image/GOW/GOW_Sindri.jpg HTTP/1.1" 200 129678
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/UFC-4.jsp HTTP/1.1" 200 10089
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/styles/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/styles/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/styles/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/styles/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/image/UFC/ea-ufc-4-logo-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2025:20:01:34 +0900] "GET /project1/image/UFC/ngannou.jpg HTTP/1.1" 304 -
